"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Teoscar Hernandez","Blue Jays","207","6.8%","30.4%","0.22",".289",".340",".579",".919",".289","4.5",".348","0.5","-0.1","0.6","37","11.2",".384","146","13066"
"George Springer","Astros","222","10.8%","17.1%","0.63",".265",".359",".540",".899",".275","4.4",".259","1.9","0.3","-0.9","39","11.1",".379","146","12856"
"Tim Anderson","White Sox","221","4.5%","22.6%","0.20",".322",".357",".529",".886",".207","6.0",".383","0.8","0.1","-0.1","38","10.5",".376","143","15172"
"Jeimer Candelario","Tigers","206","9.7%","23.8%","0.41",".297",".369",".503",".872",".205","5.0",".372","0.7","0.5","-0.4","35","9.3",".373","137","13621"
"Eloy Jimenez","White Sox","226","5.3%","24.8%","0.21",".296",".332",".559",".891",".263","0.7",".340","0.6","0.0","-0.1","39","10.2",".373","141","17484"
"Lourdes Gurriel Jr.","Blue Jays","224","6.3%","21.4%","0.29",".308",".348",".534",".882",".226","3.1",".351","-1.3","-0.9","0.0","38","9.9",".372","138","19238"
"Trevor Story","Rockies","259","9.3%","24.3%","0.38",".289",".355",".519",".874",".230","8.0",".354","1.5","1.0","1.5","43","11.0",".370","117","12564"
"Ian Happ","Cubs","231","13.0%","27.3%","0.48",".258",".361",".505",".866",".247","2.9",".317","0.7","0.8","-1.3","39","9.6",".369","131","17919"
"Xander Bogaerts","Red Sox","225","9.3%","18.2%","0.51",".300",".364",".502",".867",".202","5.1",".329","1.0","0.3","1.4","37","9.1",".368","130","12161"
"A.J. Pollock","Dodgers","210","5.7%","21.4%","0.27",".276",".314",".566",".881",".291","2.6",".277","-0.7","-0.7","-0.6","34","7.8",".364","132","9256"
"Chris Taylor","Dodgers","214","12.1%","25.7%","0.47",".270",".366",".476",".842",".205","5.2",".344","-0.5","0.1","-0.5","35","7.9",".364","131","13757"
"Kole Calhoun","Diamondbacks","228","12.3%","21.9%","0.56",".226",".338",".526",".864",".300","2.6",".211","1.2","-0.3","-0.4","37","8.2",".362","126","11200"
"Michael Brantley","Astros","187","9.1%","15.0%","0.61",".300",".364",".476",".840",".176","3.5",".336","-2.2","0.4","0.2","30","6.7",".362","134","4106"
"Alex Verdugo","Red Sox","221","7.7%","20.4%","0.38",".308",".367",".478",".844",".169","4.8",".371","0.7","-0.2","0.6","36","7.9",".362","126","17027"
"J.T. Realmuto","Phillies","195","8.2%","24.6%","0.33",".266",".349",".491",".840",".225","4.7",".307","1.4","0.4","0.2","31","6.7",".361","125","11739"
